city,date,aqi,pollution,level,cond
嘉兴,2012-11-01,93,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-02,80,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-03,38,--,Ⅰ,优	
嘉兴,2012-11-04,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-05,92,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-06,83,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-07,111,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-11-08,140,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-11-09,92,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-10,29,--,Ⅰ,优	
嘉兴,2012-11-11,49,--,Ⅰ,优	
嘉兴,2012-11-12,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-13,74,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-14,80,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-15,76,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-16,59,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-17,78,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-18,101,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-11-19,90,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-20,92,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-21,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-22,40,--,Ⅰ,优	
嘉兴,2012-11-23,31,--,Ⅰ,优	
嘉兴,2012-11-24,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-25,64,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-26,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-27,87,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-28,82,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-29,109,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-12-01,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-02,36,--,Ⅰ,优	
嘉兴,2012-12-03,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-04,99,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-05,105,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-12-06,80,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-07,77,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-08,120,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-12-09,112,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-12-10,74,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-11,78,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-12,59,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-13,68,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-14,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-15,64,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-16,82,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-17,65,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-18,58,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-19,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-20,58,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-21,41,--,Ⅰ,优	
嘉兴,2012-12-22,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-23,72,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-24,98,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-25,109,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-12-26,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-28,37,--,Ⅰ,优	
嘉兴,2012-12-29,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-30,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-12-31,66,可吸入颗粒物,Ⅱ,良	
